ciclo_form,ano_t1,ano_t2,Ativo_A,Ativo_B,Setor_A,z_media,z_std,z_skew,z_kurt,pval_form
2022-2023,2024,2025,B3SA3,ITSA3,Financeiro,-0.24823087237673427,0.8039855095888258,-1.2707754696342222,7.724076026976052,0.008185464840361202
2022-2023,2024,2025,TAEE11,TAEE4,Utilidade pública,0.0022712329606184977,0.3709459662939573,0.02597742394158028,0.7035955965333978,0.011128726792303355
2022-2023,2024,2025,ALPA4,AMAR3,Consumo cíclico,0.42458477502780867,1.2488407164132287,0.5137977323159097,0.08476750878841521,0.013278082721920466
2022-2023,2024,2025,COGN3,MELK3,Consumo cíclico,-0.07758890383276261,1.6794391740202903,0.08054622250462339,0.07323967174773172,0.01551730885799285
2022-2023,2024,2025,POMO3,POMO4,Bens industriais,0.09335309260603844,0.5615706279691277,0.4309390365307585,0.7450534080536109,0.017814845652860064
2022-2023,2024,2025,BRAP3,BRAP4,Materiais básicos,-0.00026176840071272294,0.43148301211623796,0.38196814535388324,1.432122691160985,0.01971511051643452
2022-2023,2024,2025,ALUP11,CMIG4,Utilidade pública,0.03225335364336428,0.6001875551958272,0.4676035796173008,1.976243604684898,0.024924915898738974
2022-2023,2024,2025,ENGI11,NEOE3,Utilidade pública,0.06316833839916679,0.6815888071917241,0.5428342062374695,1.0595311525416227,0.02708329189870426
2022-2023,2024,2025,HBOR3,MTRE3,Consumo cíclico,-0.04494176484164716,1.713407970777262,-0.4753969518176138,3.461747094613661,0.027246061986903544
2022-2023,2024,2025,BMOB3,TOTS3,Tecnologia da informação,0.08250876011471275,0.6513918442388984,0.29229200677233397,0.5788945270115962,0.030490089835499494
2022-2023,2024,2025,DEXP3,KLBN4,Materiais básicos,-0.007775082555514892,0.6210014319585992,0.6189039680802519,0.7080286341481066,0.037127150970430005
2022-2023,2024,2025,BBDC4,LOGG3,Financeiro,0.05721106329004795,0.6214356522275872,0.1237999823058887,3.4868171474312355,0.04125748687914308
2022-2023,2024,2025,TFCO4,VIVA3,Consumo cíclico,0.016811768677326856,0.593519424917021,0.42161958322133936,1.4636780226717967,0.04205547123640326
